KEGG,Day-0_UP,Day-1.DR_UP,Day-3.DR_UP,Day-4.DR_UP,Day-1.WTR_UP,Day-3.WTR_UP,Day-4.WTR_UP
920,0.111171674,0.343177438,0.336848277,0.455277214,1,1,1
930,1,1,1,1,1,1,1
940,0.965111771,0.976776783,1,1,0.400672956,0.688064992,0.999929217
941,1,1,0.900041291,0.605468064,1,1,1
950,0.663521401,1,0.663090848,0.873721342,1,1,1
960,0.453532595,1,0.355344843,0.682721073,1,1,1
966,1,1,1,0.423352718,1,1,1
970,0.999443821,0.992791168,3.33053E-08,0.000209306,0.730680986,1,0.979685855
980,1,1,1,1,1,1,1
982,0.911947109,0.797958288,0.994129208,1,0.713331555,1,1
983,0.841960333,0.587321334,0.999447894,0.975733212,0.690380229,1,0.430724225
997,1,1,0.429708126,1,1,1,1
4070,1,1,0.980780407,0.89498166,1,1,0.014142235
4150,0.999808268,0.991566463,0.999953494,0.999958484,0.998281038,1,0.569983666
4151,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
4658,0.161155637,0.932432494,0.999999894,0.999811241,0.665966244,0.834713726,0.94669334
4660,0.161155637,0.932432494,0.999999894,0.999811241,0.665966244,0.834713726,0.94669334
4714,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
4926,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
5163,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
5165,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
5170,0.99987211,0.985791888,0.999806389,0.99983928,0.997103896,1,0.629462239
5235,0.161155637,0.932432494,0.999999894,0.999811241,0.665966244,0.834713726,0.94669334
